id,artist_id,year,title,dims,location_key,image,image_height,image_width,date_added,random_id,artist
1,2,"1884","Perseus The Doom Fulfilled","155x141cm","stutgart","Edward_Burne-Jones_1884_Perseus_The_Doom_Fulfilled.jpg",1000,899,0,3128,"Edward Burne-Jones"
2,3,"1884","Moonrise","124x220cm","cracow","Stanislaw_Maslowski_1884_Moonrise.jpg",279,500,1,8129,"Stanislaw Maslowski"
3,16,"1895","Music I","37x45cm","neue","Gustav_Klimt_1895_Music_I.jpg",468,600,2,8224,"Gustav Klimt"
4,6,"1960","Torches Mauve","120x81in","philadelphia","Franz_Kline_1960_Torches_Mauve.jpg",472,315,3,3182,"Franz Kline"
5,4,"1851","Vengeance is Sworn (detail)","","liechtenstein","Francesco_Hayez_1851_Vengeance_is_Sworn_(detail).jpg",804,600,4,5438,"Francesco Hayez"
6,4,"1851","Vengeance is Sworn","237x178cm","liechtenstein","Francesco_Hayez_1851_Vengeance_is_Sworn.jpg",500,373,5,4199,"Francesco Hayez"
7,5,"1781","The Nightmare","127x102cm","detroit","Henry_Fuseli_1781_The_Nightmare.jpg",275,339,6,5322,"Henry Fuseli"
8,7,"1874","At the Races in the Country","14x22in","boston","Eduard_Degas_1874_At_the_Races_in_the_Country.jpg",660,1061,7,4832,"Eduard Degas"
9,2,"1890","The Briar Wood","49x90in","buscot","Edward_Burne-Jones_1890_The_Briar_Wood.jpg",415,900,8,4881,"Edward Burne-Jones"
10,9,"2012","The Shard","","theshard","Renzo_Piano_2012_The_Shard.jpg",800,600,9,5747,"Renzo Piano"
11,16,"1898","Pallas Athene","75x75cm","vienna","Gustav_Klimt_1898_Pallas_Athene.jpg",600,599,10,3128,"Gustav Klimt"
12,12,"1922","Twittering Machine","25x19in","moma","Paul_Klee_1922_Twittering_Machine.jpg",700,522,11,2185,"Paul Klee"
13,2,"1897","Love Leading the Pilgrim","157x304cm","tate","Edward_Burne-Jones_1897_Love_Leading_the_Pilgrim.jpg",480,949,12,1858,"Edward Burne-Jones"
14,20,"2001","Jewish Museum","","jewishmuseum","Daniel_Libeskind_2001_Jewish_Museum.jpg",600,403,13,1577,"Daniel Libeskind"
15,16,"1900","After the Rain","80x40cm","osterreichische","Gustav_Klimt_1900_After_the_Rain.jpg",406,198,14,5482,"Gustav Klimt"
16,14,"1482","Primavera","202x314cm","uffizi","Sandro_Botticelli_1482_Primavera.jpg",788,1200,15,9583,"Sandro Botticelli"
17,15,"1948","Christina's World","32x47in","moma","Andrew_Wyeth_1948_Christina's_World.jpg",249,375,16,7438,"Andrew Wyeth"
18,2,"1886","The Morning of the Resurrection","81x151cm","tate","Edward_Burne-Jones_1886_The_Morning_of_the_Resurrection.jpg",861,1536,17,6158,"Edward Burne-Jones"
19,17,"1903","Dusk","62x74cm","laing","George_Clausen_1903_Dusk.jpg",673,800,18,6177,"George Clausen"
20,1,"1860","Clearing Up","","smithartmuseum","George_Inness_1860_Clearing_Up.jpg",679,1152,19,4328,"George Inness"
21,1,"1870","Opposite the Palisades","","worcester","George_Inness_1870_Opposite_the_Palisades.jpg",797,1200,20,2589,"George Inness"
22,1,"1873","In the Roman Campagna","","stlouis","George_Inness_1873_In_the_Roman_Campagna.jpg",356,600,21,2895,"George Inness"
23,1,"1875","Ledge, Morte Mount","","boston","George_Inness_1875_Ledge,_Morte_Mount.jpg",507,773,22,2588,"George Inness"
24,1,"1885","The Storm","","reynolda","George_Inness_1885_The_Storm.jpg",682,1024,23,5439,"George Inness"
25,1,"1891","Early Autumn, Montclair","","delaware","George_Inness_1891_Early_Autumn,_Montclair.jpg",680,1024,24,5494,"George Inness"
26,1,"1891","October Noon","31x45in","fogg","George_Inness_1891_October_Noon.jpg",755,1155,25,3988,"George Inness"
27,1,"1891","Spring Blossoms","","mma","George_Inness_1891_Spring_Blossoms.jpg",849,1280,26,8787,"George Inness"
28,12,"1925","Fish Magic","","philadelphia","Paul_Klee_1925_Fish_Magic.jpg",392,500,27,5365,"Paul Klee"
29,16,"1900","Lake Attersee","80x80cm","leopold","Gustav_Klimt_1900_Lake_Attersee.jpg",600,592,28,4135,"Gustav Klimt"
30,14,"1494","Calumny of Apelles","36x24in","uffizi","Sandro_Botticelli_1494_Calumny_of_Apelles.jpg",555,800,29,3412,"Sandro Botticelli"
31,18,"1891","I Lock the Door Upon Myself","73x141cm","neue","Fernand_Khnopff_1891_I_Lock_the_Door_Upon_Myself.jpg",225,450,30,2154,"Fernand Khnopff"
